,Valid,Time,Latitude,Longitude,Altitude,Speed,Address,Attributes,convertion
47,True,2023-09-13 23:50:19,16.9652966,82.22824,23,6.0 km/h,"16.965297°, 82.228240°",priority=0  sat=4  event=0  ignition=false  motion=true  rssi=3  io200=0  io69=1  pdop=2.7  hdop=2.6  power=0.0  battery=3.714  io68=0  operator=40449  odometer=497  distance=36.3  totalDistance=1.838474405E7,6.0
48,True,2023-09-13 23:50:20,16.9653066,82.228225,23,6.0 km/h,"16.965307°, 82.228225°",priority=0  sat=4  event=0  ignition=false  motion=true  rssi=3  io200=0  io69=1  pdop=2.7  hdop=2.6  power=0.0  battery=3.715  io68=0  operator=40449  odometer=497  distance=1.95  totalDistance=1.8384746E7,6.0
49,True,2023-09-13 23:50:22,16.9653116,82.2281666,23,9.0 km/h,"16.965312°, 82.228167°",priority=0  sat=4  event=0  ignition=false  motion=true  rssi=3  io200=0  io69=1  pdop=2.7  hdop=2.6  power=0.0  battery=3.6790000000000003  io68=0  operator=40449  odometer=505  distance=6.24  totalDistance=1.838475224E7,9.0
50,True,2023-09-13 23:50:24,16.9653033,82.2281199,23,9.0 km/h,"16.965303°, 82.228120°",priority=0  sat=4  event=0  ignition=false  motion=true  rssi=3  io200=0  io69=1  pdop=2.7  hdop=2.6  power=0.0  battery=3.673  io68=0  operator=40449  odometer=510  distance=5.06  totalDistance=1.83847573E7,9.0
51,True,2023-09-13 23:50:28,16.9653166,82.2280533,23,8.0 km/h,"16.965317°, 82.228053°",priority=0  sat=4  event=0  ignition=false  motion=true  rssi=3  io200=0  io69=1  pdop=2.7  hdop=2.6  power=0.0  battery=3.6750000000000003  io68=0  operator=40449  odometer=519  distance=7.24  totalDistance=1.838476454E7,8.0
52,True,2023-09-13 23:50:29,16.9653333,82.228055,23,6.0 km/h,"16.965333°, 82.228055°",priority=0  sat=4  event=0  ignition=false  motion=true  rssi=4  io200=0  io69=1  pdop=2.7  hdop=2.6  power=0.0  battery=3.673  io68=0  operator=40449  odometer=519  distance=1.87  totalDistance=1.838476641E7,6.0
53,True,2023-09-13 23:50:39,16.9652866,82.2282549,24,6.0 km/h,"16.965287°, 82.228255°",priority=0  sat=4  event=0  ignition=false  motion=true  rssi=4  io200=0  io69=1  pdop=2.7  hdop=2.6  power=0.0  battery=3.708  io68=0  operator=40449  odometer=540  distance=21.91  totalDistance=1.838478832E7,6.0
54,True,2023-09-13 23:50:40,16.9653116,82.2282916,24,7.0 km/h,"16.965312°, 82.228292°",priority=0  sat=4  event=0  ignition=false  motion=true  rssi=4  io200=0  io69=1  pdop=2.7  hdop=2.6  power=0.0  battery=3.705  io68=0  operator=40449  odometer=545  distance=4.8  totalDistance=1.838479312E7,7.0
55,True,2023-09-13 23:50:41,16.9653083,82.2283216,24,7.0 km/h,"16.965308°, 82.228322°",priority=0  sat=4  event=0  ignition=false  motion=true  rssi=4  io200=0  io69=1  pdop=2.7  hdop=2.6  power=0.0  battery=3.68  io68=0  operator=40449  odometer=548  distance=3.22  totalDistance=1.838479634E7,7.0
56,True,2023-09-13 23:50:43,16.9653283,82.2283633,24,6.0 km/h,"16.965328°, 82.228363°",priority=0  sat=4  event=0  ignition=false  motion=true  rssi=4  io200=0  io69=1  pdop=2.7  hdop=2.5  power=0.0  battery=3.657  io68=0  operator=40449  odometer=553  distance=4.97  totalDistance=1.838480131E7,6.0
